ITEM: TIMESTEP
4080000
ITEM: NUMBER OF ATOMS
9276
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type q x y z 
120 3 -0.924581 48.8525 28.4722 40.8376 
121 4 1.56883 34.8251 43.8053 2.61284 
122 3 -0.787753 18.9794 13.0169 25.6658 
123 3 -0.742333 30.009 40.1324 39.5815 
124 4 1.62084 34.6504 37.4378 7.52093 
125 3 -0.872726 41.4553 38.7113 46.0749 
126 3 -0.791091 22.104 24.5131 6.00119 
127 4 1.69017 26.1209 21.3568 16.7305 
128 3 -0.767889 17.0925 25.4756 28.1704 
129 3 -0.849065 48.1547 23.1208 27.4898 
130 4 1.53298 45.8977 38.8557 32.5694 
131 3 -0.839169 45.4728 18.2197 26.5888 
132 3 -0.790994 6.56609 4.3073 27.2679 
133 4 1.58633 42.5309 3.13925 12.9022 
134 3 -0.795352 2.43479 44.9731 29.0476 
135 3 -0.904432 23.587 17.5773 29.2046 
136 4 1.37227 46.985 14.0887 5.08174 
137 3 -0.736499 26.659 38.3377 46.0796 
138 3 -0.80951 20.9232 42.6098 2.33793 
139 4 1.65165 25.5648 7.61264 36.6249 
140 3 -0.691841 44.68 1.89261 25.1343 
141 3 -0.730966 9.49981 31.7102 41.2265 
142 4 1.51311 2.16983 28.6831 11.3934 
143 3 -0.810375 41.7802 0.817313 0.936041 
144 3 -0.811169 36.8004 45.4341 22.2566 
145 4 1.62167 38.3638 12.3542 26.2065 
146 3 -0.875424 23.743 22.6686 6.05126 
147 3 -0.823386 9.37414 8.98712 20.3571 
148 4 1.56852 30.8182 17.0583 36.4125 
149 3 -0.7582 15.0462 43.4461 42.3267 
150 3 -0.768921 4.43105 3.70457 14.5409 
151 4 1.42274 38.7166 45.1246 47.0173 
152 3 -0.814509 16.974 7.07492 15.1847 
153 3 -0.714058 41.254 47.8873 7.21629 
154 4 1.45352 37.473 46.6075 39.2415 
155 3 -0.809447 31.6527 39.6317 1.9077 
156 3 -0.850356 19.5131 40.2009 9.64465 
157 4 1.46343 10.7591 19.395 43.7382 
158 3 -0.858967 11.7569 17.7296 14.4 
159 3 -0.612273 47.3134 46.5072 40.8641 
160 4 1.55688 8.49736 1.70512 40.8808 
161 3 -0.784218 49.4376 9.66917 25.4247 
162 3 -0.730455 47.4119 11.4152 8.19153 
163 4 1.64895 35.1055 17.4606 10.2838 
164 3 -0.674255 17.1298 31.0186 24.0015 
165 3 -0.760544 9.72806 49.567 22.0469 
166 4 1.49626 15.9791 19.4484 41.1802 
167 3 -0.811921 22.4374 48.9443 7.11495 
168 3 -0.779122 4.60156 19.4855 47.1996 
169 4 1.52485 7.07353 1.012 5.00894 
170 3 -0.879515 9.94365 15.931 14.5017 
171 3 -0.697095 4.40951 36.3452 5.66352 
172 4 1.6102 37.1418 25.3678 35.7505 
173 3 -0.841139 23.6127 3.51289 38.1214 
174 3 -0.711485 14.3872 12.8514 14.012 
175 4 1.46497 2.64117 36.0219 34.7986 
176 3 -0.874407 28.8684 31.2043 24.3514 
177 3 -0.738936 28.5985 42.2735 22.8603 
178 4 1.46258 6.52462 12.6949 2.23934 
179 3 -0.744571 1.68216 32.6258 16.9326 
180 3 -0.776788 6.50168 47.8439 45.043 
181 4 1.56997 22.7124 36.5068 19.2469 
182 3 -0.794678 40.5001 19.4027 43.6897 
183 3 -0.802011 16.0003 29.6651 17.469 
184 4 1.59829 17.814 3.51532 32.2075 
185 3 -0.72668 11.4689 44.3549 38.8261 
186 3 -0.890665 36.1147 0.908022 16.351 
187 4 1.62997 38.5359 24.2452 38.2281 
188 3 -0.854858 10.0469 17.4151 3.5958 
189 3 -0.890465 6.89878 36.3119 42.5859 
190 4 1.38947 21.6123 12.9342 9.29422 
191 3 -0.518665 40.0564 37.3745 42.2391 
192 3 -0.812709 37.5027 22.2524 2.92566 
193 4 1.57913 37.2941 44.1989 42.972 
194 3 -0.830271 7.4279 24.7329 30.4994 
195 3 -0.878304 31.118 36.3587 45.5383 
196 4 1.47052 30.336 40.4519 1.79347 
197 3 -0.739658 41.1767 21.8649 42.9045 
