
 258 atoms

7 atom types

  0 25  xlo xhi
  0 25  ylo yhi
  0 25  zlo zhi
  
Masses

1 12.01
2 15.9994
3 14.01
4 1.01  
5 12.01 
6 15.9994
7 1.01

Atoms
 
1	1	1	0.00	11.9830	13.7840	18.7270
2	1	1	0.00	11.1800	12.6440	18.4280
3	1	1	0.00	9.8180	12.8280	18.0740
4	1	1	0.00	11.4710	15.0930	18.4910
5	1	1	0.00	10.0950	15.2530	18.1890
6	1	1	0.00	9.2950	14.1230	18.0000
7	1	3	0.00	11.7200	11.3930	18.4590
8	1	3	0.00	12.3010	16.1740	18.5220
9	1	1	0.00	8.8730	11.6740	17.7990
10	1	1	0.00	9.4430	16.6100	18.0070
11	1	1	0.00	9.6250	17.1180	16.5780
12	1	1	0.00	8.3630	11.0620	19.1000
13	1	1	0.00	13.3670	13.6060	19.3220
14	1	4	0.00	8.2430	14.2560	17.7540
15	1	7	0.00	11.1580	10.5240	18.3060
16	1	7	0.00	12.7460	11.2210	18.5780
17	1	4	0.00	9.3570	10.8990	17.1630
18	1	4	0.00	7.9930	12.0220	17.2090
19	1	7	0.00	13.3410	16.0860	18.6130
20	1	7	0.00	11.9700	17.1540	18.3610
21	1	4	0.00	9.8370	17.3490	18.7390
22	1	4	0.00	8.3490	16.5450	18.2180
23	1	4	0.00	13.4110	12.7190	19.9920
24	1	4	0.00	13.6370	14.4490	19.9940
25	1	4	0.00	14.1220	13.5090	18.5110
26	1	4	0.00	7.8110	11.8260	19.6930
27	1	4	0.00	9.2060	10.6670	19.7110
28	1	4	0.00	7.6680	10.2220	18.8690
29	1	4	0.00	9.1430	18.1170	16.4740
30	1	4	0.00	9.1490	16.4150	15.8580
31	1	4	0.00	10.7060	17.2170	16.3280
32	2	1	0.00	3.6040	15.8430	16.3850
33	2	1	0.00	3.9070	16.3760	15.0970
34	2	1	0.00	4.2490	17.7490	14.9790
35	2	1	0.00	3.8250	16.6330	17.5500
36	2	1	0.00	4.1140	18.0130	17.4040
37	2	1	0.00	4.3070	18.5460	16.1260
38	2	3	0.00	3.8910	15.5730	13.9960
39	2	3	0.00	3.7900	16.0620	18.7870
40	2	1	0.00	4.5270	18.4190	13.6470
41	2	1	0.00	4.2790	18.9500	18.5850
42	2	1	0.00	5.7050	18.8980	19.1310
43	2	1	0.00	3.2280	18.7690	12.9270
44	2	1	0.00	3.0220	14.4480	16.5120
45	2	4	0.00	4.5440	19.6030	16.0260
46	2	7	0.00	4.0480	15.9310	13.0250
47	2	7	0.00	3.7830	14.5340	14.0540
48	2	4	0.00	5.1730	17.7820	13.0020
49	2	4	0.00	5.1070	19.3590	13.7960
50	2	7	0.00	3.7090	15.0270	18.9300
51	2	7	0.00	3.9400	16.6020	19.6710
52	2	4	0.00	3.5440	18.7220	19.3880
53	2	4	0.00	4.0600	20.0000	18.2790
54	2	4	0.00	2.3600	14.2020	15.6520
55	2	4	0.00	2.3440	14.3640	17.3890
56	2	4	0.00	3.8400	13.6980	16.5900
57	2	4	0.00	2.6230	19.4700	13.5470
58	2	4	0.00	2.6270	17.8540	12.7240
59	2	4	0.00	3.4610	19.2630	11.9570
60	2	4	0.00	5.7960	19.5900	19.9990
61	2	4	0.00	6.4270	19.2140	18.3450
62	2	4	0.00	5.9620	17.8680	19.4680
63	3	1	0.00	10.6590	19.0330	10.4670
64	3	1	0.00	12.0520	19.0360	10.3510
65	3	1	0.00	12.7680	17.8250	10.2110
66	3	1	0.00	12.0360	16.6170	10.2350
67	3	1	0.00	10.6450	16.6200	10.3510
68	3	1	0.00	9.9500	17.8290	10.4520
69	3	2	0.00	8.5390	17.8310	10.5900
70	3	1	0.00	7.9600	17.9060	9.2620
71	3	1	0.00	6.4330	17.9030	9.3900
72	3	5	0.00	5.7600	18.3570	8.4280
73	3	6	0.00	5.9000	19.2780	9.5950
74	3	1	0.00	14.3040	17.7700	10.1020
75	3	1	0.00	14.7010	16.8580	8.9250
76	3	1	0.00	14.1030	17.0660	7.6620
77	3	1	0.00	14.4520	16.2780	6.5630
78	3	1	0.00	15.4260	15.2830	6.6910
79	3	1	0.00	16.0360	15.0690	7.9290
80	3	1	0.00	15.6900	15.8520	9.0340
81	3	2	0.00	15.7630	14.4690	5.5780
82	3	1	0.00	14.9450	19.1530	9.8350
83	3	1	0.00	14.8340	17.2660	11.4660
84	3	1	0.00	16.8510	15.1150	4.8670
85	3	1	0.00	17.2440	14.2490	3.6650
86	3	5	0.00	18.0310	13.2890	3.8620
87	3	6	0.00	18.6500	14.5000	3.2490
88	3	4	0.00	10.1250	19.9740	10.5690
89	3	4	0.00	12.5490	15.6610	10.1610
90	3	4	0.00	10.1020	15.6790	10.3610
91	3	4	0.00	12.5520	19.9960	10.3720
92	3	4	0.00	8.3150	18.8300	8.7400
93	3	4	0.00	8.2570	17.0120	8.6620
94	3	4	0.00	5.9500	17.1580	10.0630
95	3	4	0.00	4.7120	17.9900	8.3360
96	3	4	0.00	6.2850	18.7640	7.5310
97	3	4	0.00	13.3560	17.8410	7.5280
98	3	4	0.00	16.7880	14.2920	8.0330
99	3	4	0.00	16.2040	15.6550	9.9660
100	3	4	0.00	13.9700	16.4450	5.6040
101	3	4	0.00	14.8100	19.8360	10.7060
102	3	4	0.00	14.5030	19.6310	8.9310
103	3	4	0.00	16.0410	19.0470	9.6660
104	3	4	0.00	14.5180	16.2150	11.6560
105	3	4	0.00	14.4360	17.8980	12.2950
106	3	4	0.00	15.9460	17.3220	11.5150
107	3	4	0.00	17.7260	15.2820	5.5440
